ano,entrevistas,relatos_hipertensao,relatos_ponderados,proporcao_hipertensao,proporcao_ponderada
2006,54369,12954,6758392.107603073,0.23826077360260442,0.22493339932156453
2007,54251,13090,7483118.095696211,0.24128587491474812,0.23543000835989375
2008,54353,14142,8100951.584214926,0.2601880300995345,0.2532178120545066
2009,54367,14440,8259576.987333536,0.265602295510144,0.25425268659531014
2010,54339,14765,16180311931.861328,0.27172012734868145,0.2446967050613425
2011,54144,15083,16438431266.367188,0.27857195626477543,0.24570300912702403
2012,45448,13106,14024886768.050781,0.2883735257877134,0.24611273844328962
2013,52929,16043,16340365021,0.3031041584008766,0.24656185732312844
2014,40853,12958,13127659771.613281,0.3171860083714782,0.25547868648447636
2015,54174,17985,17302423253.421875,0.33198582345774724,0.2577729914609171
2016,53210,18322,18029974674.859375,0.3443337718473971,0.2672010966521051
2017,53034,18648,17453816313.460938,0.351623486819776,0.25664887200623443
2018,52395,18329,18147293398.714844,0.3498234564366829,0.2613549809359786
2019,52443,19276,18188581173.308594,0.3675609709589459,0.2584422808948064
2020,27077,9925,9431909968.46875,0.36654725412711897,0.27035533259316696
2021,27093,10904,9869362852.1796875,0.4024655815155206,0.2814702122640614
2023,21690,7405,8577934396.359375,0.3414015675426464,0.2975304380901204
2024,27048,7818,10850241397.300781,0.28904170363797693,0.2939778573093565
