ano,sexo,entrevistas,relatos_hipertensao,relatos_ponderados,proporcao_hipertensao,proporcao_ponderada
2006,Homens,21294,4584,2673486.948337555,0.21527190757959988,0.19293964828816046
2006,Mulheres,33075,8370,4084905.159265518,0.2530612244897959,0.2523166978559627
2007,Homens,21547,4668,3086727.2373838425,0.21664268807722653,0.21051081531197258
2007,Mulheres,32704,8422,4396390.858312368,0.2575220156555773,0.25677061927976585
2008,Homens,21435,4965,3309482.680950165,0.23163051084674596,0.22430836814581462
2008,Mulheres,32918,9177,4791468.903264761,0.27878364420681695,0.2779618700920069
2009,Homens,21347,5075,3327547.9951381683,0.23773832388626037,0.22212293833335478
2009,Mulheres,33020,9365,4932028.992195368,0.2836159903089037,0.281749037494209
2010,Homens,20764,5061,6518516587.130859,0.24373916393758427,0.21640175510339973
2010,Mulheres,33575,9704,9661795344.730469,0.28902457185405805,0.26837085788706794
2011,Homens,21426,5307,6594440234.634766,0.247689722766732,0.21534663611458543
2011,Mulheres,32718,9776,9843991031.732422,0.29879576991258633,0.27132470392155394
2012,Homens,17389,4401,5650670663.707031,0.2530910345620795,0.21703132036192446
2012,Mulheres,28059,8705,8374216104.34375,0.31023913895719735,0.27057748092637296
2013,Homens,20276,5422,6728357987.2265625,0.2674097455119353,0.2228408420022803
2013,Mulheres,32653,10621,9612007033.7734375,0.3252687348788779,0.2664131677215345
2014,Homens,15521,4401,5444636834.277344,0.2835513175697442,0.2329930050483783
2014,Mulheres,25332,8557,7683022937.3359375,0.33779409442602243,0.27423385759803554
2015,Homens,20368,5929,7015340609.199219,0.2910938727415554,0.23204824484743533
2015,Mulheres,33806,12056,10287082644.222656,0.3566230846595279,0.2788547795402196
2016,Homens,20258,6325,7657687593.6953125,0.3122223319182545,0.2502263946206382
2016,Mulheres,32952,11997,10372287081.164062,0.36407501820830296,0.2812889502438952
2017,Homens,19504,6223,7141142404.5546875,0.31906275635767023,0.23316362518390732
2017,Mulheres,33530,12425,10312673908.90625,0.3705636743215031,0.27589172264510153
2018,Homens,19039,5889,7396908917.359375,0.3093124638899102,0.23610620120263182
2018,Mulheres,33356,12440,10750384481.355469,0.3729463964504137,0.28211281771442265
2019,Homens,18354,5839,7144943864.9453125,0.3181322872398387,0.2257187600067942
2019,Mulheres,34089,13437,11043637308.363281,0.3941740737481299,0.2851918075391909
2020,Homens,9757,3197,3972393401.9257812,0.3276621912473096,0.2546926842525912
2020,Mulheres,17320,6728,5459516566.542969,0.3884526558891455,0.28301908811422793
2021,Homens,9271,3304,4126627832.1132812,0.356380110020494,0.2638897478318673
2021,Mulheres,17822,7600,5742735020.066406,0.42643923240938164,0.29562233526271825
2023,Homens,8132,2412,3614986892.0039062,0.2966060009837678,0.2767153375758504
2023,Mulheres,13558,4993,4962947504.355469,0.36826965629148845,0.3147775372154819
2024,Homens,11888,3200,4574588533.050781,0.2691790040376851,0.2712621472123156
2024,Mulheres,15160,4618,6275652864.25,0.3046174142480211,0.31308953432450265
